Revenue,ProfitMargin,MarketCap,GrowthRate,ESG_Overall,ESG_Environmental,ESG_Social,ESG_Governance,CarbonEmissions,WaterUsage,EnergyConsumption
-1.4454789091469114,-0.5624461333089193,-1.3869328405004016,-0.1865592764292648,0.1498112152329604,0.20729549176653644,-0.9355386845937901,0.9778368365373715,-1.5371074359733428,-1.5442879166663812,-1.5757141710251126
-1.410824794696685,-0.7221255464049982,-1.3361903469093779,-0.1865592764292648,0.13093247061098975,0.1424032340577074,-0.967309337347082,1.0386085340573301,-1.4998655653774566,-1.5138251795837687,-1.5469492166840597
-1.2189850859104125,-0.6537128402561125,-1.4324026059243633,1.5395505162827576,0.11834673304420118,0.09529113963736306,-0.9129011156401219,1.0136144767147321,-1.3546510535475869,-1.3938455517518935,-1.4347075632865507
-1.231460946495416,-0.7563187292069843,-1.4950493500710687,-0.639698552451925,0.21274155207961265,0.2646562477200757,-0.9400717368529226,1.0314715692181349,-1.3961247967542305,-1.4283089445030355,-1.4667781982976382
-1.2390264760716592,-0.6879234326343828,-1.1010111923469414,-0.5981740232675495,0.12463959258819893,0.3146064219283268,-1.0953451382991126,0.9527415844464321,-1.411703280558141,-1.4412151404524898,-1.4788215990056255
-1.2140406501770753,-0.5624461333089193,-1.3075892856131712,-0.28231968715215255,0.0680045258023125,0.3643382500034609,-1.164601418904838,0.8591554197617327,-1.4034940534849736,-1.4344176806656384,-1.4724747005631857
-1.1468928835869778,-0.6537128402561125,-1.1718732847509812,0.1664818662757407,0.061711834024703524,0.4244413306768434,-1.3046419055204257,0.8988225516422551,-1.3674661862619852,-1.40451202956579,-1.444618140974039
-1.1665182701686099,-0.7677143867595786,-1.5751535146951938,-0.7121360161103798,0.19386226019307046,0.5017713253315866,-1.229690308212959,0.9814184348032916,-1.3981894215593602,-1.4300204932262648,-1.468374404816676
-1.0912148551858625,-0.6423074970931973,-1.3240962874355966,0.2524055160572443,0.20015533939650526,0.477220424274202,-1.2343567895344485,1.0243312538863982,-1.3385841591086391,-1.3804495156568803,-1.4222814100407337
-1.0111571015478455,-0.7221255464049982,-1.196919500787729,0.3169172585282949,0.24420739897417895,0.49826710758887593,-1.099947262915896,0.9778368365373715,-1.2848957416810438,-1.3355179171424125,-1.3807451958242032
-0.9414873944961034,-0.6765208228933202,-1.0056966905817877,0.20943001051706353,0.2882603351667095,0.5611893969813991,-1.1368406207079043,1.0207598366472377,-1.246865255101014,-1.3035226325816724,-1.3513100464325256
0.35997827322895737,-1.5713880002256273,-0.36354872179185366,0.22017137490095895,0.3323141377975799,0.22166362252215055,-0.26945786930938637,0.7249172273189978,-0.17746313432039135,-0.34323621565845536,-0.5196991012718357
0.4170956611870224,-1.3689878433545273,0.8672677931920509,0.22017137490095895,0.37636879692403746,0.22166362252215055,-0.2050081390361145,0.7504118503076499,-0.13059056985530504,-0.298237439255597,-0.4830675528079998
0.49868283044409084,-1.492746676923444,0.2869909048705968,0.575479436681922,0.4455992541540733,0.23242742537751693,-0.07689961434944502,0.7504118503076499,-0.06590409675718814,-0.23570045675887707,-0.43248844329116815
0.3613929451582224,-1.4365237227233016,0.17770062753572594,-2.066934389098977,0.4330117444267422,0.24318075715776846,-0.12375331749150628,0.7540501383766652,-0.18006015341658238,-0.3457219824404998,-0.5217281134365144
